LossChange	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.004828579	1.7850341796875	0	27.57894736842105	19.92437224652969	119.0	11.0	27.57894736842105	19.92437224652969	1048	1048
0.0072916616	2.2449865341186523	1	24.19047619047619	10.358429038912947	64.0	10.0	24.19047619047619	10.358429038912947	1016	2064
0.0038001146	2.7060670852661133	2	28.194444444444443	20.136781498933797	121.0	10.0	28.194444444444443	20.136781498933797	1015	3079
0.006029321	3.2073328495025635	3	31.875	17.590391553345253	83.0	10.0	31.875	17.590391553345253	1020	4099
0.0033407249	3.6932990550994873	4	32.38709677419355	12.658485409463587	78.0	10.0	32.38709677419355	12.658485409463587	1004	5103
0.003956739	4.251970291137695	5	36.03448275862069	21.068824425285236	108.0	15.0	36.03448275862069	21.068824425285236	1045	6148
0.0020076055	4.731735467910767	6	43.56521739130435	26.46708552631152	139.0	14.0	43.56521739130435	26.46708552631152	1002	7150
0.0013150568	5.194621324539185	7	40.12	23.72563170918743	118.0	19.0	40.12	23.72563170918743	1003	8153
0.0023662727	5.639206409454346	8	40.56	17.647844060961102	90.0	15.0	40.56	17.647844060961102	1014	9167
0.0028284825	6.043270587921143	9	39.11538461538461	16.357371716368604	85.0	16.0	39.11538461538461	16.357371716368604	1017	10184
0.0044771917	6.463194370269775	10	39.03703703703704	19.5400471614759	87.0	14.0	39.03703703703704	19.5400471614759	1054	11238
0.0014882479	6.86036229133606	11	47.904761904761905	18.746186309054618	77.0	19.0	47.904761904761905	18.746186309054618	1006	12244
0.0009981599	7.305038213729858	12	50.5	29.88424638196824	134.0	13.0	50.5	29.88424638196824	1111	13355
0.0010212021	7.71110200881958	13	50.95	17.931745592663308	92.0	19.0	50.95	17.931745592663308	1019	14374
0.0010941427	8.114129781723022	14	46.45454545454545	15.340757575009349	85.0	25.0	46.45454545454545	15.340757575009349	1022	15396
0.00015307928	8.531131029129028	15	65.75	29.45016977879754	138.0	23.0	65.75	29.45016977879754	1052	16448
0.00080650114	8.930015563964844	16	47.904761904761905	12.023408762769566	67.0	32.0	47.904761904761905	12.023408762769566	1006	17454
0.0013170261	9.396151065826416	17	55.888888888888886	18.6425108254372	90.0	16.0	55.888888888888886	18.6425108254372	1006	18460
0.0014418093	10.035006046295166	18	49.57142857142857	23.570707059664482	109.0	16.0	49.57142857142857	23.570707059664482	1041	19501
0.00065515935	10.691344499588013	19	53.89473684210526	27.40321674710184	124.0	25.0	53.89473684210526	27.40321674710184	1024	20525
0.001010213	11.392593145370483	20	52.73684210526316	18.88982490031453	98.0	30.0	52.73684210526316	18.88982490031453	1002	21527
-2.7463306e-05	11.87684416770935	21	61.23529411764706	19.240060571522317	107.0	36.0	61.23529411764706	19.240060571522317	1041	22568
0.0007961716	12.333346605300903	22	63.4375	31.18887772508014	137.0	21.0	63.4375	31.18887772508014	1015	23583
0.000911762	12.759846925735474	23	50.45	15.441745367671363	85.0	25.0	50.45	15.441745367671363	1009	24592
0.0015906077	13.210878610610962	24	62.529411764705884	23.840444249361642	101.0	18.0	62.529411764705884	23.840444249361642	1063	25655
0.0007821644	13.66709280014038	25	72.85714285714286	36.08295431137443	145.0	16.0	72.85714285714286	36.08295431137443	1020	26675
0.0007457733	14.10741639137268	26	63.875	25.597546269125093	126.0	29.0	63.875	25.597546269125093	1022	27697
0.0009381436	14.504805564880371	27	62.6875	16.38108188582183	89.0	29.0	62.6875	16.38108188582183	1003	28700
0.0012090411	15.11998462677002	28	57.55555555555556	19.644683256466966	103.0	31.0	57.55555555555556	19.644683256466966	1036	29736
0.002254393	15.797199010848999	29	59.705882352941174	28.53226183459566	109.0	24.0	59.705882352941174	28.53226183459566	1015	30751
0.001718455	16.357884407043457	30	67.06666666666666	27.639263537382625	127.0	24.0	67.06666666666666	27.639263537382625	1006	31757
0.00067223236	17.03058624267578	31	63.5	30.742885355802244	131.0	20.0	63.5	30.742885355802244	1016	32773
